run,mejor_valor,n_switches
1,900.0000000000008,15
2,900.0000000000001,6
3,900.0000000000002,6
4,900.0000036522333,6
5,900.0001710477973,6
6,900.0002148103699,5
7,900.1790565008369,15
8,900.0000053384181,8
9,900.0000039378657,11
10,900.0001198567346,4
11,900.000010325181,6
12,923.9738072594386,6
13,900.0000000000002,17
14,900.0000000000002,13
15,904.8836204717117,5
16,900.2685847512497,6
17,900.0000000000005,18
18,900.0895282504166,6
19,900.5438522690084,16
20,900.0000000000002,7
21,900.0000000003727,8
22,942.2450849134038,6
23,900.0000118326168,6
24,900.000025845466,4
25,900.0895282504166,18
26,900.0000000000001,7
27,900.0000000000005,16
28,900.0895282657978,10
29,900.0000000000001,5
30,900.0895282504166,18
31,921.3061313222513,5
