run,mejor_valor,n_switches
1,3234.9837613194222,11
2,11938.804716570783,8
3,2806.664309399442,8
4,2180.429719524079,8
5,4520.985191320902,6
6,2739.710277567899,6
7,2342.6348959647335,4
8,7569.456237979954,6
9,2145.9792537703734,7
10,7290.515306489488,6
11,3482.636886398083,11
12,8597.821836855175,4
13,5278.183259848291,9
14,17878.93382595648,6
15,2327.7118864538643,6
16,3322.867185803111,11
17,15267.200655191104,8
18,14455.128701762198,6
19,4040.561075943979,7
20,2018.6508168326855,10
21,9000.223954117373,6
22,4325.078368497927,6
23,23302.80636402576,6
24,1971.2933178761814,6
25,2504.9519101276696,8
26,4587.079805704698,8
27,5441.487607262969,10
28,7657.481299580777,6
29,15496.766297120777,8
30,11979.94963074943,6
31,2650.213078617365,7
