iteracion,epoch,mh,tipo,fitness_best,fitness_instantaneo,dtw_ready,dtw_fire,D1_vs_ramp,D2_vs_const,dtw_delta,theta_c,theta_r,theta_delta,no_improve_len,trigger_streak,window_n,estado_dtw
1,1,PSO,poblacional,190139.5586644717,190139.5586644717,False,False,,,,,,,0,0,0,Llenando ventana
2,1,PSO,poblacional,190139.5586644717,190139.5586644717,False,False,,,,,,,0,0,0,Llenando ventana
3,1,PSO,poblacional,13287.492739175028,13287.492739175028,False,False,,,,,,,0,0,0,Llenando ventana
4,1,PSO,poblacional,6695.95104964199,6695.95104964199,False,False,,,,,,,0,0,0,Llenando ventana
5,1,PSO,poblacional,5694.417546269069,5694.417546269069,False,False,,,,,,,0,0,0,Llenando ventana
6,1,PSO,poblacional,5694.417546269069,5820.4378079257585,False,False,,,,,,,0,0,0,Llenando ventana
7,1,PSO,poblacional,4848.4504590255565,4848.4504590255565,False,False,,,,,,,0,0,0,Llenando ventana
8,1,PSO,poblacional,4738.185122825771,4738.185122825771,False,False,,,,,,,0,0,0,Llenando ventana
9,1,PSO,poblacional,4738.185122825771,4755.954677226013,False,False,,,,,,,0,0,0,Llenando ventana
10,1,PSO,poblacional,4738.185122825771,4768.145554055642,False,False,,,,,,,0,0,0,Llenando ventana
11,1,PSO,poblacional,4710.810395235074,4710.810395235074,False,False,,,,,,,0,0,0,Llenando ventana
12,1,PSO,poblacional,4673.171957541503,4673.171957541503,False,False,,,,,,,0,0,0,Llenando ventana
13,1,PSO,poblacional,4663.281101465338,4663.281101465338,False,False,,,,,,,0,0,0,Llenando ventana
14,1,PSO,poblacional,4652.085675724475,4652.085675724475,False,False,,,,,,,0,0,0,Llenando ventana
15,1,PSO,poblacional,4652.085675724475,4659.73299013734,False,False,,,,,,,0,0,0,Llenando ventana
16,1,PSO,poblacional,4646.598442635819,4646.598442635819,False,False,,,,,,,0,0,0,Llenando ventana
17,1,PSO,poblacional,4646.598442635819,4697.690046740827,False,False,,,,,,,0,0,0,Llenando ventana
18,1,PSO,poblacional,4646.598442635819,4663.433099852287,False,False,,,,,,,0,0,0,Llenando ventana
19,1,PSO,poblacional,4643.9469401118085,4643.9469401118085,False,False,,,,,,,0,0,0,Llenando ventana
20,1,PSO,poblacional,4643.9469401118085,4678.579405964925,False,False,,,,,,,0,0,0,Llenando ventana
21,1,PSO,poblacional,4643.5497867551185,4643.5497867551185,False,False,,,,,,,0,0,0,Llenando ventana
22,1,PSO,poblacional,4643.5497867551185,4651.686624459516,False,False,,,,,,,0,0,0,Llenando ventana
23,1,PSO,poblacional,4643.5497867551185,4645.578782830726,False,False,,,,,,,0,0,0,Llenando ventana
24,1,PSO,poblacional,4642.993579299406,4642.993579299406,False,False,,,,,,,0,0,0,Llenando ventana
25,1,PSO,poblacional,4642.993579299406,4645.126611342419,False,False,,,,,,,0,0,0,Llenando ventana
26,1,PSO,poblacional,4642.6226678605335,4642.6226678605335,False,False,,,,,,,0,0,0,Llenando ventana
27,1,PSO,poblacional,4642.11474898366,4642.11474898366,False,False,,,,,,,0,0,0,Llenando ventana
28,1,PSO,poblacional,4642.11474898366,4642.961960450803,False,False,,,,,,,0,0,0,Llenando ventana
29,1,PSO,poblacional,4642.11474898366,4642.193886642572,False,False,,,,,,,0,0,0,Llenando ventana
30,1,PSO,poblacional,4642.11474898366,4642.139283851731,False,False,,,-31039.905615192838,,,,0,0,0,Llenando ventana
31,1,PSO,poblacional,4642.0543650271775,4642.0543650271775,False,False,,,-31534.5757309068,,,,0,0,0,Llenando ventana
