run,mejor_valor,n_switches
1,8958.334999031951,9
2,13745.649893881677,6
3,9992.040245088552,7
4,3887.6531316582286,8
5,8702.781192360384,7
6,2924.8352053159897,5
7,5557.149480559732,5
8,20118.371842805267,5
9,7168.066745790749,7
10,6692.5612675167395,4
11,15734.497412224728,6
12,3995.8408436755644,6
13,14937.373940245674,7
14,21412.916157873387,6
15,5980.69273441029,6
16,21982.906347121778,6
17,18443.551319561662,14
18,12037.970012455873,6
19,2900.0,20
20,21485.257678657283,7
21,16239.68978300813,4
22,12277.016136303504,6
23,3092.388727350253,6
24,13864.63875536402,7
25,4661.960633848276,6
26,15550.053302975073,11
27,9548.665667169078,7
28,6603.175353110804,6
29,10115.550452806085,8
30,11217.645377711964,6
31,10945.529454237792,6
