Funcion            : CEC 12 (F12_Composition_Function_4) (Mejor Run #25)
Dimension          : 10
Limites            : [-100.0, 100.0]
Optimo conocido    : 2700.000000
Mejor valor global : 2900.000000
Total switches     : 13

1. PSO (poblacional) | mejor=739338094.559089 | 0.0s-0.7s | iters=226
2. PSO (poblacional) | mejor=2902.733357 | 0.7s-1.6s | iters=300
3. PSO (poblacional) | mejor=2902.733357 | 1.6s-1.8s | iters=41
4. ACO (poblacional) | mejor=2902.733357 | 1.8s-1.8s | iters=41
5. PSO (poblacional) | mejor=2902.733357 | 1.8s-2.0s | iters=41
6. PSO (poblacional) | mejor=2902.733357 | 2.0s-2.1s | iters=41
7. PSO (poblacional) | mejor=2902.733357 | 2.1s-2.2s | iters=41
8. WOA (poblacional) | mejor=2900.000000 | 2.2s-2.5s | iters=92
9. GWO (poblacional) | mejor=2900.000000 | 2.5s-2.6s | iters=41
10. PSO (poblacional) | mejor=2900.000000 | 2.6s-2.7s | iters=41
11. ACO (poblacional) | mejor=2900.000000 | 2.7s-2.8s | iters=41
12. ACO (poblacional) | mejor=2900.000000 | 2.8s-2.9s | iters=41
13. PSO (poblacional) | mejor=2900.000000 | 2.9s-3.0s | iters=41
