rank,algoritmo,mean_rank,mean_lcoe,std_lcoe,median_lcoe,iqr_lcoe,ci95_low,ci95_high,shapiro_pvalue,wilcoxon_pvalue,mannwhitney_pvalue,significancia
1,Hybrid DTW,1.71,0.267160,0.000001,0.267159,0.000000,0.267159,0.267160,4.638281e-12,1.000000e+00,1.000000e+00,=
2,GWO,4.00,0.268066,0.002815,0.267160,0.000001,0.267075,0.269057,1.039125e-10,1.381151e-06,1.276706e-10,Peor (-) ***
3,VNS,5.19,0.267806,0.002465,0.267168,0.000014,0.266939,0.268674,2.755505e-11,9.313226e-10,3.719237e-11,Peor (-) ***
4,TS,5.35,0.267188,0.000038,0.267176,0.000022,0.267175,0.267201,2.957552e-07,4.656613e-09,1.712375e-11,Peor (-) ***
5,ACO,5.58,0.273288,0.007584,0.267159,0.009365,0.270619,0.275958,5.490605e-06,1.753895e-05,2.546251e-07,Peor (-) ***
6,ILS,5.58,0.267184,0.000023,0.267178,0.000020,0.267176,0.267192,2.903371e-05,9.313226e-10,1.552760e-11,Peor (-) ***
7,PSO,6.00,0.277289,0.010939,0.274579,0.019563,0.273438,0.281140,2.316212e-05,3.627860e-04,1.285356e-02,Peor (-) ***
8,WOA,7.26,0.277227,0.009567,0.276524,0.019519,0.273859,0.280595,1.491841e-04,1.645479e-05,1.186417e-05,Peor (-) ***
9,EHO,7.84,0.277728,0.007382,0.276524,0.012144,0.275129,0.280327,3.406339e-04,6.166010e-06,1.083156e-07,Peor (-) ***
10,ABC,7.84,0.272971,0.004761,0.273567,0.006859,0.271295,0.274647,2.378942e-02,1.171430e-06,9.291165e-12,Peor (-) ***
11,SA,9.65,0.286431,0.013206,0.281339,0.020828,0.281782,0.291080,3.908736e-03,9.313226e-10,8.591352e-12,Peor (-) ***
