RESUMEN BENCHMARK HRES2-H2 (WPEB EXTENDIDO)
Runs independientes : 31
Max Iters / Run     : 1000

Estadísticas Principales:
  Media LCOE       : 0.267160 CNY/kWh (± 0.000001)
  Media LCOH       : 17.631382 CNY/kg
  Media AGSR       : 20.00%
  Mejor LCOE       : 0.267159 CNY/kWh (Run #1)
  Peor LCOE        : 0.267166 CNY/kWh

Configuración Global Óptima:
  Parque Eólico    : 174.47 MW
  Parque Solar PV  : 25.53 MW
  Electrolizador   : 70.0 MW (14 unidades)
  Batería          : 50.0 MW (4.0 h)
  Producción H2    : 8,862,879.4 kg/año
  LCOH Óptimo      : 17.631389 CNY/kg
  AGSR Óptimo      : 20.00%

Detalle por Run:
  Run 01: LCOE=0.267159 | LCOH=17.6314 | AGSR=20.00% | Wind=174.5MW, PV=25.5MW, Elz=70.0MW, Bat=50.0MW (4.0h) | Switches=23
  Run 02: LCOE=0.267159 | LCOH=17.6314 | AGSR=20.00% | Wind=174.5MW, PV=25.5MW, Elz=70.0MW, Bat=50.0MW (4.0h) | Switches=24
  Run 03: LCOE=0.267159 | LCOH=17.6314 | AGSR=20.00% | Wind=174.5MW, PV=25.5MW, Elz=70.0MW, Bat=50.0MW (4.0h) | Switches=22
  Run 04: LCOE=0.267159 | LCOH=17.6314 | AGSR=20.00% | Wind=174.5MW, PV=25.5MW, Elz=70.0MW, Bat=50.0MW (4.0h) | Switches=21
  Run 05: LCOE=0.267159 | LCOH=17.6314 | AGSR=20.00% | Wind=174.5MW, PV=25.5MW, Elz=70.0MW, Bat=50.0MW (4.0h) | Switches=24
  Run 06: LCOE=0.267159 | LCOH=17.6314 | AGSR=20.00% | Wind=174.5MW, PV=25.5MW, Elz=70.0MW, Bat=50.0MW (4.0h) | Switches=21
  Run 07: LCOE=0.267159 | LCOH=17.6314 | AGSR=20.00% | Wind=174.5MW, PV=25.5MW, Elz=70.0MW, Bat=50.0MW (4.0h) | Switches=23
  Run 08: LCOE=0.267159 | LCOH=17.6314 | AGSR=20.00% | Wind=174.5MW, PV=25.5MW, Elz=70.0MW, Bat=50.0MW (4.0h) | Switches=18
  Run 09: LCOE=0.267159 | LCOH=17.6314 | AGSR=20.00% | Wind=174.5MW, PV=25.5MW, Elz=70.0MW, Bat=50.0MW (4.0h) | Switches=22
  Run 10: LCOE=0.267159 | LCOH=17.6314 | AGSR=20.00% | Wind=174.5MW, PV=25.5MW, Elz=70.0MW, Bat=50.0MW (4.0h) | Switches=22
  Run 11: LCOE=0.267159 | LCOH=17.6314 | AGSR=20.00% | Wind=174.5MW, PV=25.5MW, Elz=70.0MW, Bat=50.0MW (4.0h) | Switches=21
  Run 12: LCOE=0.267159 | LCOH=17.6314 | AGSR=20.00% | Wind=174.5MW, PV=25.5MW, Elz=70.0MW, Bat=50.0MW (4.0h) | Switches=24
  Run 13: LCOE=0.267159 | LCOH=17.6314 | AGSR=20.00% | Wind=174.5MW, PV=25.5MW, Elz=70.0MW, Bat=50.0MW (4.0h) | Switches=21
  Run 14: LCOE=0.267159 | LCOH=17.6314 | AGSR=20.00% | Wind=174.5MW, PV=25.5MW, Elz=70.0MW, Bat=50.0MW (4.0h) | Switches=22
  Run 15: LCOE=0.267159 | LCOH=17.6314 | AGSR=20.00% | Wind=174.5MW, PV=25.5MW, Elz=70.0MW, Bat=50.0MW (4.0h) | Switches=19
