run,lcoe_cny_kwh,lcoh_cny_kg,agsr_pct,total_h2_kg,electrolyzer_cf_pct,n_switches,wind_mw,pv_mw,n_el_units,electrolyzer_mw,battery_mw,battery_duration_h
1,0.267159,17.631389,20.0000,8862879.45,75.9290,23,174.4731539942015,25.52684600579849,14,70.0,50.0,4.0
2,0.267159,17.631389,20.0000,8862879.45,75.9290,24,174.4731539942015,25.52684600579849,14,70.0,50.0,4.0
3,0.267159,17.631389,20.0000,8862879.45,75.9290,22,174.47315399420154,25.52684600579846,14,70.0,50.0,4.0
4,0.267159,17.631389,20.0000,8862879.45,75.9290,21,174.47315399420103,25.526846005798973,14,70.0,50.0,4.0
5,0.267159,17.631389,20.0000,8862879.45,75.9290,24,174.47315399417016,25.52684600582984,14,70.0,50.0,4.0
6,0.267159,17.631389,20.0000,8862879.45,75.9290,21,174.47315399406716,25.52684600593284,14,70.0,50.0,4.0
7,0.267159,17.631389,20.0000,8862879.45,75.9290,23,174.47315295910707,25.52684704089293,14,70.0,50.0,4.0
8,0.267159,17.631389,20.0000,8862879.45,75.9290,18,174.47315399342355,25.52684600657645,14,70.0,50.0,4.0
9,0.267159,17.631389,20.0000,8862879.45,75.9290,22,174.47315399398724,25.52684600601276,14,70.0,50.0,4.0
10,0.267159,17.631389,20.0000,8862879.45,75.9290,22,174.47315399420154,25.52684600579846,14,70.0,50.0,4.0
11,0.267159,17.631389,20.0000,8862879.45,75.9290,21,174.47315399420154,25.52684600579846,14,70.0,50.0,4.0
12,0.267159,17.631389,20.0000,8862879.45,75.9290,24,174.4731539942015,25.52684600579849,14,70.0,50.0,4.0
13,0.267159,17.631389,20.0000,8862879.45,75.9290,21,174.47315399272628,25.52684600727372,14,70.0,50.0,4.0
14,0.267159,17.631389,20.0000,8862879.45,75.9290,22,174.4731539942015,25.52684600579849,14,70.0,50.0,4.0
15,0.267159,17.631389,20.0000,8862879.45,75.9290,19,174.47315399420154,25.52684600579846,14,70.0,50.0,4.0
16,0.267159,17.631389,20.0000,8862879.45,75.9290,20,174.47315399420154,25.52684600579846,14,70.0,50.0,4.0
17,0.267159,17.631389,20.0000,8862879.45,75.9290,20,174.47315399420137,25.52684600579863,14,70.0,50.0,4.0
18,0.267159,17.631389,20.0000,8862879.45,75.9290,21,174.4731539942015,25.52684600579849,14,70.0,50.0,4.0
19,0.267159,17.631389,20.0000,8862879.45,75.9290,21,174.47315399420154,25.52684600579846,14,70.0,50.0,4.0
20,0.267159,17.631389,20.0000,8862879.45,75.9290,18,174.47315399419918,25.52684600580082,14,70.0,50.0,4.0
21,0.267159,17.631389,20.0000,8862879.45,75.9290,24,174.47315392777614,25.52684607222386,14,70.0,50.0,4.0
22,0.267159,17.631389,20.0000,8862879.45,75.9290,21,174.4731539942015,25.52684600579849,14,70.0,50.0,4.0
23,0.267159,17.631389,20.0000,8862879.45,75.9290,21,174.47315399420154,25.52684600579846,14,70.0,50.0,4.0
24,0.267159,17.631389,20.0000,8862879.45,75.9290,20,174.47315399420154,25.52684600579846,14,70.0,50.0,4.0
25,0.267159,17.631389,20.0000,8862879.45,75.9290,22,174.4731539941554,25.52684600584459,14,70.0,50.0,4.0
26,0.267159,17.631389,20.0000,8862879.45,75.9290,22,174.47315399420154,25.52684600579846,14,70.0,50.0,4.0
27,0.267166,17.631164,19.9971,8862924.39,75.9294,18,174.46197056484712,25.53802943515288,14,70.0,50.0,4.0
28,0.267159,17.631389,20.0000,8862879.45,75.9290,17,174.47315383608583,25.526846163914172,14,70.0,50.0,4.0
29,0.267159,17.631389,20.0000,8862879.45,75.9290,21,174.47315399420154,25.52684600579846,14,70.0,50.0,4.0
30,0.267159,17.631389,20.0000,8862879.45,75.9290,18,174.4731539941987,25.526846005801303,14,70.0,50.0,4.0
31,0.267159,17.631389,20.0000,8862879.45,75.9290,20,174.47315399420154,25.52684600579846,14,70.0,50.0,4.0
