run,mejor_valor,n_switches,gap_pct,tiempo_s
1,57917.0,8,2.351969247369841,228.82
2,57668.0,10,2.7717831130294037,228.30
3,58258.0,7,1.7770434313461019,317.58
4,57530.0,9,3.0044510385756675,97.08
5,57740.0,5,2.6503911518748313,175.04
6,58255.0,8,1.7821014297275426,287.75
7,57699.0,9,2.7195171297545184,142.45
8,58231.0,8,1.8225654167790666,308.73
9,57665.0,8,2.776841111410844,231.74
10,58161.0,6,1.9405853790126788,242.48
11,57602.0,7,2.883059077421095,159.81
12,57800.0,7,2.549231184246021,194.77
13,57711.0,9,2.6992851362287564,197.44
14,57798.0,7,2.5526031831669815,308.56
15,58272.0,8,1.7534394388993795,208.58
16,57616.0,5,2.859455084974373,238.43
17,58164.0,8,1.9355273806312383,166.31
18,58276.0,8,1.7466954410574589,332.38
19,57508.0,8,3.0415430267062313,72.77
20,57355.0,9,3.299500944159698,108.16
21,58102.0,6,2.040059347181009,329.65
22,58255.0,8,1.7821014297275426,216.57
23,58015.0,6,2.186741300242784,295.16
24,57947.0,7,2.3013892635554356,248.52
25,57645.0,9,2.810561100620448,153.26
26,58408.0,9,1.524143512274076,269.02
27,58285.0,8,1.7315214459131374,109.35
28,58009.0,9,2.196857297005665,196.42
29,58123.0,8,2.004653358510925,124.89
30,57881.0,8,2.412665227947127,244.15
31,58828.0,9,0.8160237388724035,82.58
